F_ID,LINK_ID,T_ID,경도(생성됨),기하 도형,위도(생성됨),노선ID,노선번호,INDEX,tF_ID,tLINK_ID,tT_ID
1650013800,1650046000,1650051700,126.7321882,LINESTRING,37.43785114,28022004,21_변경,109.0,1650013800,1650046000,1650051700
1650051700,1650154400,1650049900,126.73831090000002,LINESTRING,37.43597163,28022004,21_변경,110.0,1650051700,1650154400,1650049900
1650049900,1650147500,1650027600,126.7448541,LINESTRING,37.43634976,28022004,21_변경,111.0,1650049900,1650147500,1650027600
1650027600,1650090300,1650027700,126.7463422,LINESTRING,37.43675837,28022004,21_변경,112.0,1650027600,1650090300,1650027700
1650027700,1650090500,1650027900,126.74766470000002,LINESTRING,37.43628016,28022004,21_변경,113.0,1650027700,1650090500,1650027900
1650027900,1650090700,1650027800,126.74870449999999,LINESTRING,37.435103399999996,28022004,21_변경,114.0,1650027900,1650090700,1650027800
1650027800,1650119000,1650036200,126.7498588,LINESTRING,37.43421664,28022004,21_변경,115.0,1650027800,1650119000,1650036200
1650036200,1650169800,1650045100,126.75015330000001,LINESTRING,37.43216067,28022004,21_변경,116.0,1650036200,1650169800,1650045100
1650045100,1650152500,1650049800,126.7486844,LINESTRING,37.43018839,28022004,21_변경,117.0,1650045100,1650152500,1650049800
1650049800,1650152200,1650045000,126.7486365,LINESTRING,37.42659271,28022004,21_변경,118.0,1650049800,1650152200,1650045000
1650045000,1650135300,1650045300,126.7506988,LINESTRING,37.42331781,28022004,21_변경,119.0,1650045000,1650135300,1650045300
1650045300,1650136300,1650045600,126.75189080000001,LINESTRING,37.42233999,28022004,21_변경,120.0,1650045300,1650136300,1650045600
1650045600,1650146800,1650052700,126.7552158,LINESTRING,37.42413484,28022004,21_변경,121.0,1650045600,1650146800,1650052700
1650052700,1650158500,1650049600,126.7576443,LINESTRING,37.42601551,28022004,21_변경,122.0,1650052700,1650158500,1650049600
